"Dấu thời gian","Bạn hiện đang là học sinh lớp mấy?","Bạn đến từ miền nào? (Bao gồm các khu vực hải đảo tương ứng)","Bạn giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Bạn không giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Điểm trung bình trong lớp của bạn như thế nào ở học kỳ gần nhất?","Bạn dự định sẽ thi những tổ hợp nào? 
(Nếu chưa quyết định, em hãy điền tổ hợp mà em đang có xu hướng chọn cao nhất nhé.)","Bạn dự đoán điểm tổ hợp của bạn sẽ trong khoảng nào?","Mục đích bạn thi THPTQG là gì?","Giả sử bạn vừa biết điểm thi tốt nghiệp THPTQG, bạn muốn biết điều gì về kết quả của mình?","Ngoài những mong muốn trên, bạn còn khao khát điều gì khác khi cầm tờ kết quả trên tay? (Ví dụ: Muốn biết mình có thuộc Top 100 của tỉnh không, hay muốn so sánh điểm với bạn bè một cách ẩn danh...)  "
"2026/04/02 11:31:41 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Hình học);Hóa học;Sinh học","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","[8.0 - 9.0)","toán hoá sinh","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""",""
"2026/04/02 11:31:47 SA GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Sinh học;Lịch sử;GDKT&PL (Hoặc GDCD)","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","[6.0 - 7.0)","C00","[18 - 21)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""",""
"2026/04/02 11:32:24 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học","Toán (Đại số / Giải tích);Vật lý","[9.0 - 10.0]","Toán Lý Hóa","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Khômg"
"2026/04/02 11:33:12 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn","Tiếng Anh","[9.0 - 10.0]","văn","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 11:33:33 SA GMT+7","Thí sinh tự do","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý;Hóa học","Ngữ văn;Tin học","Mình ngại lắm / Không muốn trả lời","Toán-Anh-Hoá","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""",""
"2026/04/02 11:33:51 SA GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Ngữ văn;Lịch sử","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","D01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm",""
"2026/04/02 11:34:02 SA GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Phụ huynh","Phụ huynh","Khác (Cha mẹ, thầy cô,...)","Con tôi chọn thi toán lý hóa","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính",""
"2026/04/02 11:34:06 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Vật lý;Hóa học","Toán (Đại số / Giải tích);Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","A00, D07","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 11:35:26 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Lịch sử;Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Hóa học","[7.0 - 8.0)","(văn sử địa )","[27 - 30]","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""","Muốn biết mình có đậu trường mình muốn hay khonho "
"2026/04/02 11:35:44 SA GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Phụ huynh","Phụ huynh","Khác (Cha mẹ, thầy cô,...)","Con tôi thi Toán Lý Hóa","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";",""
"2026/04/02 11:35:52 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Vật lý","Toán (Đại số / Giải tích);Toán (Hình học)","[8.0 - 9.0)","D01,A01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn""","Thành công hơn nữa"
"2026/04/02 11:36:43 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;GDKT&PL (Hoặc GDCD)","Vật lý","[9.0 - 10.0]","Văn Anh GDKTPL","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Đủ điểm đậu ngành mong muốn"
"2026/04/02 11:36:49 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Lịch sử;GDKT&PL (Hoặc GDCD)","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học;Sinh học;GDKT&PL (Hoặc GDCD)","[7.0 - 8.0)","CO3:  toán văn sử","Khác","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";","Muốn biết mình có đậu nv1 không"
"2026/04/02 11:36:52 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học;Công nghệ nông nghiệp","Toán (Hình học);Tiếng Anh;Vật lý;Sinh học;Địa lý","[6.0 - 7.0)","Tổ hợp Toán,Ngữ văn,Sinh học,Tiếng Anh","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn"";Thứ hạng ước tính","Không có"
"2026/04/02 11:36:57 SA GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Gia đình","Gia đình","Khác (Cha mẹ, thầy cô,...)","Toán Lý Hóa","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 11:36:59 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;vẽ năng khiếu","Hóa học;Sinh học;Tin học","Mình đang là học sinh lớp 10 nên chưa biết","V00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","đậu UAH"
"2026/04/02 11:37:03 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Sinh học","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học","[7.0 - 8.0)","Toán,Hoá,Sinh","[27 - 30]","Chỉ để xét tốt nghiệp THPT / Thi cho có","Vị thế tương đối;Xác suất ""an toàn""",""
"2026/04/02 11:37:04 SA GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Hóa học;Sinh học;Lịch sử","[8.0 - 9.0)","Toán Lý Anh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 11:37:45 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;GDKT&PL (Hoặc GDCD)","Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","Toán văn anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Đậu"
"2026/04/02 11:38:04 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Hình học)","Mình đang là học sinh lớp 10 nên chưa biết","Tổ hợp khối D01","[15 - 18)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""","
Mình muốn biết điểm mình có đủ tốt chưa
"
"2026/04/02 11:38:16 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","","","[9.0 - 10.0]","A00","[27 - 30]","Chỉ để xét tốt nghiệp THPT / Thi cho có","Vị thế tương đối","Top 1 tphcm"
"2026/04/02 11:39:05 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Vật lý","Mình ngại lắm / Không muốn trả lời","Tổ hợp D","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Không"
"2026/04/02 11:39:38 SA GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý","[9.0 - 10.0]","Toán, lý, hoá","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 11:39:45 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","[8.0 - 9.0)","tổ hợp Toán Văn Anh","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;","Muốn biết cơ hội đậu các nguyện vọng và vị trí của mình so với các bạn khác."
"2026/04/02 11:40:04 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học","Toán (Đại số / Giải tích);Vật lý","[9.0 - 10.0]","Toán Lý Hóa","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 11:41:08 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Vật lý;Hóa học","Ngữ văn;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Công nghệ công nghiệp;Công nghệ nông nghiệp","Mình đang là học sinh lớp 10 nên chưa biết","A00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm"," Muốn biết mình có thuộc Top 100 của tỉnh không"
"2026/04/02 11:41:17 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học;Sinh học","Toán (Đại số / Giải tích);Toán (Hình học)","[7.0 - 8.0)","B00","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối","không còn"
"2026/04/02 11:42:02 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học;Sinh học","Vật lý","[8.0 - 9.0)","Toán, Lý Hóa","[24 - 27)","Khác","Xác suất ""an toàn""",""
"2026/04/02 11:42:26 SA GMT+7","Thí sinh tự do","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Vật lý;Công nghệ công nghiệp","Địa lý","[9.0 - 10.0]","Toán văn anh","[18 - 21)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Thứ hạng ước tính",""
"2026/04/02 11:42:38 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Địa lý","Sinh học;Lịch sử","[8.0 - 9.0)","chưa biết","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Phân tích phổ điểm","không"
"2026/04/02 11:42:43 SA GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Lịch sử","[8.0 - 9.0)","C00 , C04 , A07","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn""","khao khát được nhìn thấy số điểm đã mơ ước "
"2026/04/02 11:42:49 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Sinh học","Mình đang là học sinh lớp 10 nên chưa biết","B08","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""",""
"2026/04/02 11:43:24 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học","Toán (Hình học);Ngữ văn","Mình đang là học sinh lớp 10 nên chưa biết","D07","Khác","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối","Không"
"2026/04/02 11:43:53 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp","Mình đang là học sinh lớp 10 nên chưa biết","C00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 11:44:33 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Hóa học;Sinh học","Toán (Hình học)","[8.0 - 9.0)","b00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối",""
"2026/04/02 11:45:36 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý;Tin học","Ngữ văn;Hóa học;GDKT&PL (Hoặc GDCD);Công nghệ nông nghiệp","[9.0 - 10.0]","A01, A00","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 11:45:52 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Hóa học","Toán (Hình học);Tiếng Anh;Vật lý;Tin học","[7.0 - 8.0)","A00 ạ","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Muốn so sánh điểm với ban bè môt cách ẩn danh"
"2026/04/02 11:47:22 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích)","Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","Toán , Lí , Hoá","Khác","Khác","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm","Mình muốn mình đậu"
"2026/04/02 11:47:39 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học","Toán (Hình học)","[7.0 - 8.0)","A00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 11:50:04 SA GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý","[8.0 - 9.0)","Toán- vật lý-tiếng anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Phân tích phổ điểm;So sánh tổ hợp","Không"
"2026/04/02 11:50:44 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Đại số / Giải tích);Vật lý","[8.0 - 9.0)","D04,D01","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Thứ hạng ước tính",""
"2026/04/02 11:51:24 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Hóa học;Sinh học","Ngữ văn;Vật lý","[7.0 - 8.0)","B00","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn"";So sánh tổ hợp","Đậu đạt trường mong muốn"
"2026/04/02 11:51:25 SA GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý","[8.0 - 9.0)","Toán , vật lý , tiếng anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Phân tích phổ điểm;So sánh tổ hợp","Không
"
"2026/04/02 11:51:58 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","Ngữ văn","[8.0 - 9.0)","Toán Lí Hoá","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""","Muốn sau này có cuộc sống tốt"
"2026/04/02 11:52:02 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","Vật lý","[7.0 - 8.0)","A00 và A01","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","không"
"2026/04/02 11:54:21 SA GMT+7","Lớp 10","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Tiếng Anh","Toán (Đại số / Giải tích);Vật lý","[7.0 - 8.0)","em đang có xu hướng chọn cao nhất","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","muốn so sánh điểm với bạn bè "
"2026/04/02 11:54:23 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Hóa học","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý","[8.0 - 9.0)","Toán lý anh","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Muốn bt mình top bao nhiêu của trường"
"2026/04/02 11:54:44 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Lịch sử;Địa lý","Toán (Hình học);Tiếng Anh","[8.0 - 9.0)","C00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";","Không ạ"
"2026/04/02 11:55:05 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý","[7.0 - 8.0)","A00","Khác","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""",""
"2026/04/02 11:58:04 SA GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh","","[9.0 - 10.0]","A01","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Phân tích phổ điểm",""
"2026/04/02 11:58:05 SA GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","","","[6.0 - 7.0)","sinh,hoá","[18 - 21)","Khác","đạt kết quá mong muốn và đậu ngôi trường mình chọn",""
"2026/04/02 11:58:42 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Địa lý","Toán (Hình học);Ngữ văn;Tiếng Anh","[6.0 - 7.0)","DO1","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Đậu trường mong muốn"
"2026/04/02 11:59:03 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học)","Toán (Đại số / Giải tích);Toán (Hình học)","Mình đang là học sinh lớp 10 nên chưa biết","Toán văn anh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 11:59:30 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn","Toán (Hình học);Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","D01: Toán, Văn, Anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","“Mình muốn biết cơ hội đậu đại học và năng lực mình tới đâu"
"2026/04/02 12:00:10 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Hóa học","Toán (Hình học)","Mình đang là học sinh lớp 10 nên chưa biết","Toán-lý-hoá","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Thứ hạng ước tính",""
"2026/04/02 12:03:28 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","Ngữ văn;Sinh học","Mình đang là học sinh lớp 10 nên chưa biết","A00 hoặc B00","[24 - 27)","Khác","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính","Không còn"
"2026/04/02 12:04:41 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Vật lý;Hóa học","Tiếng Anh;Sinh học;Tin học","[7.0 - 8.0)","Toán, lý ,hoá, văn","[18 - 21)","Khác","Xác suất ""an toàn""","Khoe"
"2026/04/02 12:05:12 CH GMT+7","Lớp 12","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Vật lý","Toán (Đại số / Giải tích);Toán (Hình học)","[8.0 - 9.0)","A01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 12:06:47 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Địa lý","Toán (Hình học);Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","C04","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""",""
"2026/04/02 12:13:15 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Tin học","Ngữ văn;GDKT&PL (Hoặc GDCD);Công nghệ công nghiệp;Công nghệ nông nghiệp","[9.0 - 10.0]","A00, A01","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm",""
"2026/04/02 12:18:44 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tin học","Toán (Hình học);Tiếng Anh","[8.0 - 9.0)","D01","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Thứ hạng ước tính;Phân tích phổ điểm",""
"2026/04/02 12:21:36 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Vật lý;Hóa học;Sinh học","[9.0 - 10.0]","D01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính",""
"2026/04/02 12:25:32 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Toán (Đại số / Giải tích);Toán (Hình học)","[6.0 - 7.0)","c00 c01","[18 - 21)","Đủ điều kiện xét học bạ / ĐGNL","Phân tích phổ điểm","không"
"2026/04/02 12:33:45 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Hóa học","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Hóa học","[7.0 - 8.0)","Toán Lý Hóa ","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","So sánh tổ hợp",""
"2026/04/02 12:36:02 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Hóa học;Sinh học","[7.0 - 8.0)","A01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm","Đủ điểm đậu trường mình muốn"
"2026/04/02 12:55:17 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học;Sinh học","Toán (Đại số / Giải tích);Toán (Hình học)","[8.0 - 9.0)","Toán Hóa Sinh","[27 - 30]","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Nghỉ hè"
"2026/04/02 12:55:45 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Hình học)","Toán (Đại số / Giải tích);Vật lý;Hóa học","[8.0 - 9.0)","Toán, Lí, Hóa","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Thứ hạng so với những người thi cùng ngành"
"2026/04/02 12:57:08 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh","Vật lý;Hóa học","[7.0 - 8.0)","A00","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Phân tích phổ điểm","Đậu đại học"
